ID: 734, Math: 100, English: 95, Physics: 92
ID: 2832, Math: 88, English: 100, Physics: 100
ID: 300, Math: 83, English: 100, Physics: 98
ID: 2910, Math: 96, English: 95, Physics: 90
ID: 784, Math: 91, English: 90, Physics: 93
ID: 1220, Math: 89, English: 95, Physics: 92
ID: 1298, Math: 98, English: 91, Physics: 85
ID: 1344, Math: 82, English: 93, Physics: 100
ID: 2551, Math: 98, English: 93, Physics: 85
ID: 2937, Math: 99, English: 91, Physics: 85
ID: 242, Math: 87, English: 85, Physics: 100
ID: 2042, Math: 93, English: 84, Physics: 95
ID: 326, Math: 76, English: 96, Physics: 96
ID: 411, Math: 84, English: 91, Physics: 94
ID: 423, Math: 98, English: 88, Physics: 84
ID: 566, Math: 92, English: 86, Physics: 91
ID: 1114, Math: 81, English: 93, Physics: 96
ID: 1192, Math: 99, English: 89, Physics: 80
ID: 1572, Math: 98, English: 96, Physics: 75
ID: 2893, Math: 74, English: 97, Physics: 99
ID: 252, Math: 92, English: 80, Physics: 95
ID: 475, Math: 85, English: 87, Physics: 93
ID: 537, Math: 86, English: 94, Physics: 85
ID: 982, Math: 85, English: 99, Physics: 81
ID: 1139, Math: 92, English: 98, Physics: 75
ID: 1305, Math: 87, English: 83, Physics: 96
ID: 1351, Math: 92, English: 98, Physics: 75
ID: 1386, Math: 84, English: 83, Physics: 99
ID: 1402, Math: 91, English: 78, Physics: 97
ID: 1817, Math: 95, English: 94, Physics: 77
ID: 2472, Math: 100, English: 70, Physics: 97
ID: 2869, Math: 98, English: 93, Physics: 75
ID: 208, Math: 75, English: 87, Physics: 100
ID: 474, Math: 99, English: 72, Physics: 93
ID: 614, Math: 78, English: 98, Physics: 86
ID: 1085, Math: 99, English: 66, Physics: 97
ID: 2820, Math: 78, English: 94, Physics: 90
ID: 2994, Math: 87, English: 87, Physics: 88
ID: 562, Math: 95, English: 75, Physics: 89
ID: 753, Math: 80, English: 84, Physics: 95
ID: 85, Math: 84, English: 74, Physics: 99
ID: 1477, Math: 74, English: 95, Physics: 88
ID: 1904, Math: 89, English: 74, Physics: 93
ID: 2227, Math: 90, English: 87, Physics: 80
ID: 2982, Math: 99, English: 66, Physics: 93
ID: 91, Math: 95, English: 71, Physics: 88
ID: 124, Math: 83, English: 91, Physics: 80
ID: 307, Math: 81, English: 74, Physics: 99
ID: 491, Math: 87, English: 80, Physics: 88
ID: 1770, Math: 74, English: 90, Physics: 90
ID: 1831, Math: 98, English: 70, Physics: 86
ID: 2072, Math: 86, English: 80, Physics: 87
ID: 557, Math: 100, English: 75, Physics: 75
ID: 379, Math: 100, English: 74, Physics: 63
ID: 1842, Math: 100, English: 92, Physics: 38
ID: 2595, Math: 100, English: 96, Physics: 32
ID: 2215, Math: 100, English: 99, Physics: 19
ID: 33, Math: 100, English: 71, Physics: 41
ID: 1093, Math: 100, English: 12, Physics: 96
ID: 2377, Math: 100, English: 47, Physics: 61
ID: 2759, Math: 100, English: 85, Physics: 21
ID: 2875, Math: 100, English: 69, Physics: 36
ID: 227, Math: 100, English: 92, Physics: 8
ID: 991, Math: 100, English: 9, Physics: 91
ID: 1655, Math: 100, English: 69, Physics: 20
ID: 425, Math: 100, English: 11, Physics: 68
ID: 500, Math: 100, English: 31, Physics: 47
ID: 2854, Math: 100, English: 39, Physics: 36
ID: 1306, Math: 100, English: 56, Physics: 18
ID: 2739, Math: 100, English: 41, Physics: 28
ID: 2137, Math: 100, English: 51, Physics: 16
ID: 2831, Math: 100, English: 42, Physics: 26
ID: 2003, Math: 100, English: 21, Physics: 30
ID: 2842, Math: 100, English: 39, Physics: 1
ID: 1999, Math: 100, English: 2, Physics: 31
ID: 1335, Math: 100, English: 6, Physics: 8
